city,year,weekofyear,station_avg_temp_c,reanalysis_specific_humidity_g_per_kg,station_precip_mm,reanalysis_dew_point_temp_k,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,total_cases
sj,2010,41,32.76,6.76,82.66,303.91,0.759,0.37,0.773,0.734,15
sj,2010,42,28.84,7.38,35.84,299.99,0.691,0.116,0.67,0.297,20
sj,2010,43,29.07,7.31,57.99,300.22,0.615,0.662,0.297,0.224,25
sj,2010,44,30.24,8.61,39.58,301.39,0.36,0.643,0.339,0.752,25
sj,2010,45,27.35,9.1,56.51,298.5,0.172,0.732,0.454,0.679,29
sj,2010,46,30.05,7.69,46.48,301.2,0.765,0.501,0.542,0.414,23
sj,2010,47,24.98,6.79,63.16,296.13,0.654,0.653,0.164,0.446,26
sj,2010,48,28.23,7.32,59.5,299.38,0.346,0.182,0.2,0.633,23
sj,2010,49,25.53,8.24,44.9,296.68,0.151,0.675,0.594,0.157,20
sj,2010,50,23.66,6.59,25.63,294.81,0.644,0.491,0.397,0.734,18
sj,2010,51,27.94,7.0,39.63,299.09,0.139,0.183,0.182,0.554,20
sj,2010,52,29.56,9.53,37.82,300.71,0.3,0.708,0.257,0.774,27
sj,2011,1,28.67,8.01,41.95,299.82,0.779,0.466,0.541,0.587,19
sj,2011,2,34.46,7.23,57.45,305.61,0.132,0.297,0.765,0.723,26
sj,2011,3,34.57,7.19,23.21,305.72,0.425,0.347,0.509,0.154,20
sj,2011,4,29.03,9.88,59.01,300.18,0.579,0.214,0.738,0.676,23
sj,2011,5,24.04,9.83,63.59,295.19,0.791,0.205,0.516,0.367,22
sj,2011,6,27.66,9.24,8.11,298.81,0.139,0.705,0.669,0.8,19
sj,2011,7,28.02,8.05,31.0,299.17,0.415,0.19,0.768,0.524,26
sj,2011,8,30.13,6.88,9.32,301.28,0.179,0.57,0.464,0.641,27
sj,2011,9,31.54,8.07,81.21,302.69,0.714,0.382,0.194,0.12,35
sj,2011,10,29.94,9.37,20.7,301.09,0.195,0.11,0.345,0.513,27
sj,2011,11,24.45,5.96,34.61,295.6,0.46,0.649,0.378,0.535,23
sj,2011,12,22.89,7.94,47.68,294.04,0.445,0.33,0.543,0.268,22
sj,2011,13,29.1,7.06,29.72,300.25,0.728,0.432,0.567,0.221,16
sj,2011,14,26.41,7.21,37.86,297.56,0.244,0.355,0.452,0.583,16
sj,2011,15,25.9,8.21,37.75,297.05,0.664,0.624,0.229,0.247,21
sj,2011,16,27.17,5.7,9.7,298.32,0.424,0.623,0.126,0.277,26
sj,2011,17,29.73,8.31,101.58,300.88,0.175,0.413,0.473,0.27,32
sj,2011,18,25.73,6.58,27.07,296.88,0.184,0.723,0.516,0.575,15
sj,2011,19,27.98,9.48,41.55,299.13,0.511,0.622,0.402,0.189,20
sj,2011,20,25.37,6.62,58.52,296.52,0.349,0.791,0.524,0.266,31
sj,2011,21,26.05,7.51,28.15,297.2,0.221,0.728,0.156,0.467,17
sj,2011,22,28.81,7.95,35.22,299.96,0.779,0.706,0.672,0.281,18
sj,2011,23,29.5,7.02,41.99,300.65,0.5,0.296,0.639,0.231,26
sj,2011,24,25.71,6.2,7.45,296.86,0.18,0.527,0.302,0.507,19
sj,2011,25,27.8,6.79,26.96,298.95,0.336,0.194,0.144,0.793,21
sj,2011,26,31.02,7.42,56.71,302.17,0.632,0.517,0.43,0.388,18
sj,2011,27,29.73,7.8,47.42,300.88,0.757,0.227,0.147,0.619,21
sj,2011,28,31.5,8.25,46.75,302.65,0.241,0.215,0.215,0.67,22
sj,2011,29,28.87,10.08,57.42,300.02,0.375,0.672,0.407,0.364,24
sj,2011,30,22.39,7.65,40.37,293.54,0.263,0.73,0.369,0.48,29
sj,2011,31,28.71,8.77,10.43,299.86,0.197,0.656,0.534,0.473,28
sj,2011,32,28.55,8.25,30.81,299.7,0.274,0.621,0.123,0.499,19
sj,2011,33,29.44,8.33,60.75,300.59,0.177,0.693,0.189,0.378,22
sj,2011,34,26.67,8.38,55.14,297.82,0.604,0.549,0.586,0.48,19
sj,2011,35,25.68,6.76,4.43,296.83,0.423,0.763,0.207,0.51,27
sj,2011,36,35.34,8.13,42.19,306.49,0.588,0.746,0.595,0.207,29
sj,2011,37,33.65,9.35,71.86,304.8,0.754,0.748,0.416,0.179,25
sj,2011,38,28.17,9.09,6.15,299.32,0.138,0.335,0.662,0.103,30
sj,2011,39,24.96,6.35,56.46,296.11,0.342,0.343,0.616,0.417,22
sj,2011,40,27.22,6.5,35.09,298.37,0.449,0.393,0.74,0.354,20
sj,2011,41,33.55,9.13,34.62,304.7,0.16,0.798,0.452,0.517,20
sj,2011,42,28.04,7.98,43.96,299.19,0.244,0.233,0.126,0.43,22
sj,2011,43,25.86,8.11,34.9,297.01,0.467,0.409,0.381,0.492,30
sj,2011,44,26.97,7.63,11.85,298.12,0.551,0.386,0.118,0.209,17
sj,2011,45,30.81,9.27,54.43,301.96,0.114,0.173,0.66,0.225,20
sj,2011,46,24.33,8.71,35.19,295.48,0.606,0.699,0.681,0.378,20
sj,2011,47,24.76,8.62,51.86,295.91,0.109,0.16,0.246,0.119,22
sj,2011,48,28.98,6.75,58.48,300.13,0.672,0.339,0.282,0.366,22
sj,2011,49,23.33,8.61,14.39,294.48,0.486,0.405,0.306,0.764,30
sj,2011,50,26.37,8.4,39.25,297.52,0.726,0.66,0.398,0.116,28
sj,2011,51,28.92,6.29,13.04,300.07,0.198,0.684,0.789,0.468,24
sj,2011,52,26.38,7.22,43.92,297.53,0.292,0.488,0.556,0.681,17
sj,2012,1,28.77,8.98,73.31,299.92,0.223,0.74,0.393,0.368,31
sj,2012,2,26.13,8.03,50.35,297.28,0.158,0.522,0.272,0.373,19
sj,2012,3,25.23,6.65,20.48,296.38,0.496,0.433,0.565,0.756,25
sj,2012,4,25.42,8.7,28.49,296.57,0.447,0.518,0.334,0.64,23
sj,2012,5,27.9,9.77,27.46,299.05,0.272,0.673,0.66,0.586,33
sj,2012,6,29.87,6.43,25.46,301.02,0.742,0.196,0.765,0.412,20
sj,2012,7,28.53,6.66,47.6,299.68,0.665,0.561,0.585,0.694,25
sj,2012,8,27.79,6.34,48.59,298.94,0.226,0.498,0.741,0.124,23
sj,2012,9,24.76,9.05,39.21,295.91,0.703,0.691,0.323,0.68,26
sj,2012,10,28.29,7.54,31.31,299.44,0.154,0.587,0.338,0.607,21
sj,2012,11,27.44,7.56,68.94,298.59,0.323,0.538,0.72,0.531,25
sj,2012,12,28.25,9.07,29.65,299.4,0.436,0.539,0.712,0.789,31
sj,2012,13,26.66,9.45,71.59,297.81,0.267,0.177,0.348,0.301,23
sj,2012,14,24.99,7.23,39.31,296.14,0.369,0.576,0.253,0.765,22
sj,2012,15,30.95,7.79,39.01,302.1,0.529,0.217,0.794,0.262,27
sj,2012,16,28.5,8.49,45.78,299.65,0.261,0.224,0.254,0.231,36
sj,2012,17,26.09,9.19,68.41,297.24,0.587,0.208,0.671,0.257,22
sj,2012,18,28.61,6.48,70.95,299.76,0.164,0.714,0.286,0.191,32
sj,2012,19,28.86,8.33,53.17,300.01,0.161,0.386,0.361,0.282,34
sj,2012,20,27.9,9.79,29.65,299.05,0.696,0.447,0.436,0.515,25
sj,2012,21,26.53,9.04,53.64,297.68,0.287,0.715,0.658,0.561,33
sj,2012,22,30.46,8.51,61.33,301.61,0.533,0.627,0.211,0.717,31
sj,2012,23,27.5,8.15,64.13,298.65,0.213,0.673,0.682,0.455,20
sj,2012,24,28.57,8.05,12.8,299.72,0.544,0.478,0.646,0.175,25
sj,2012,25,28.75,9.58,38.09,299.9,0.543,0.752,0.172,0.756,26
sj,2012,26,26.66,8.19,61.47,297.81,0.147,0.508,0.342,0.535,19
sj,2012,27,26.32,8.38,71.31,297.47,0.578,0.412,0.292,0.798,24
sj,2012,28,23.66,5.8,48.8,294.81,0.586,0.255,0.158,0.576,17
sj,2012,29,24.16,8.87,53.0,295.31,0.394,0.547,0.378,0.292,23
sj,2012,30,27.86,8.24,35.18,299.01,0.249,0.122,0.556,0.358,25
sj,2012,31,27.75,9.12,46.85,298.9,0.64,0.691,0.633,0.538,27
sj,2012,32,28.59,8.71,38.21,299.74,0.182,0.188,0.58,0.401,31
sj,2012,33,27.88,6.57,42.56,299.03,0.288,0.658,0.317,0.419,18
sj,2012,34,26.64,5.58,8.32,297.79,0.586,0.702,0.646,0.128,22
sj,2012,35,25.1,7.95,39.93,296.25,0.533,0.592,0.492,0.107,16
sj,2012,36,28.63,5.96,35.06,299.78,0.123,0.155,0.378,0.193,17
sj,2012,37,33.39,8.64,28.58,304.54,0.217,0.173,0.546,0.595,27
sj,2012,38,28.18,7.35,53.96,299.33,0.6,0.661,0.338,0.67,25
sj,2012,39,31.95,8.2,81.51,303.1,0.468,0.612,0.157,0.142,23
sj,2012,40,26.05,7.52,33.59,297.2,0.783,0.336,0.227,0.653,24
sj,2012,41,27.93,10.14,74.55,299.08,0.26,0.797,0.782,0.555,29
sj,2012,42,29.84,6.98,34.85,300.99,0.708,0.609,0.62,0.398,14
sj,2012,43,24.32,6.54,44.49,295.47,0.407,0.608,0.441,0.711,26
sj,2012,44,27.48,8.88,53.05,298.63,0.739,0.247,0.536,0.542,16
sj,2012,45,26.12,8.4,49.88,297.27,0.226,0.266,0.78,0.227,25
sj,2012,46,27.92,9.17,50.87,299.07,0.412,0.46,0.351,0.515,23
sj,2012,47,26.91,6.88,14.11,298.06,0.641,0.192,0.779,0.418,26
sj,2012,48,28.23,6.72,59.93,299.38,0.402,0.274,0.532,0.595,20
sj,2012,49,26.95,7.65,33.57,298.1,0.691,0.664,0.51,0.708,32
sj,2012,50,27.22,7.8,38.57,298.37,0.472,0.756,0.128,0.185,22
sj,2012,51,30.2,7.92,41.57,301.35,0.129,0.204,0.791,0.776,14
sj,2012,52,30.75,8.35,59.96,301.9,0.442,0.567,0.198,0.121,11
sj,2013,1,31.32,6.96,52.26,302.47,0.779,0.166,0.571,0.411,18
sj,2013,2,27.43,8.22,57.4,298.58,0.761,0.578,0.448,0.532,26
sj,2013,3,28.6,9.05,62.11,299.75,0.251,0.561,0.376,0.556,31
sj,2013,4,28.91,7.25,38.72,300.06,0.71,0.648,0.497,0.617,24
sj,2013,5,27.27,8.96,63.79,298.42,0.665,0.634,0.658,0.405,19
sj,2013,6,27.55,8.13,36.54,298.7,0.327,0.357,0.377,0.587,23
sj,2013,7,25.03,5.85,27.22,296.18,0.259,0.151,0.522,0.568,13
sj,2013,8,25.94,10.25,59.64,297.09,0.463,0.435,0.118,0.339,24
sj,2013,9,23.83,6.35,60.45,294.98,0.526,0.635,0.669,0.603,33
sj,2013,10,30.28,8.28,42.08,301.43,0.142,0.754,0.346,0.171,24
sj,2013,11,22.92,7.9,20.23,294.07,0.662,0.477,0.318,0.527,15
sj,2013,12,25.03,8.94,20.35,296.18,0.227,0.577,0.227,0.468,21
sj,2013,13,26.2,8.32,8.14,297.35,0.774,0.438,0.664,0.485,23
sj,2013,14,28.38,7.57,42.45,299.53,0.673,0.719,0.26,0.248,25
sj,2013,15,23.79,9.75,15.12,294.94,0.646,0.292,0.676,0.397,19
sj,2013,16,25.98,8.28,23.29,297.13,0.511,0.218,0.616,0.704,32
sj,2013,17,27.44,7.87,40.88,298.59,0.525,0.483,0.262,0.374,22
sj,2013,18,27.74,10.58,23.93,298.89,0.4,0.602,0.585,0.794,33
sj,2013,19,29.71,9.63,32.42,300.86,0.16,0.726,0.234,0.326,24
sj,2013,20,26.05,6.78,40.68,297.2,0.147,0.66,0.264,0.478,17
sj,2013,21,28.99,8.83,0.13,300.14,0.333,0.569,0.796,0.563,24
sj,2013,22,33.02,8.42,25.9,304.17,0.494,0.77,0.223,0.583,24
sj,2013,23,28.51,6.59,37.78,299.66,0.629,0.343,0.565,0.657,17
sj,2013,24,24.72,7.68,64.26,295.87,0.465,0.537,0.162,0.629,24
sj,2013,25,28.4,7.85,54.16,299.55,0.125,0.312,0.284,0.352,28
sj,2013,26,22.49,8.51,17.93,293.64,0.52,0.461,0.744,0.448,10
sj,2013,27,28.25,7.9,58.38,299.4,0.708,0.664,0.653,0.313,22
sj,2013,28,27.48,7.24,50.73,298.63,0.342,0.783,0.549,0.676,18
sj,2013,29,27.92,8.82,67.8,299.07,0.222,0.452,0.379,0.202,28
sj,2013,30,26.17,7.81,41.13,297.32,0.776,0.403,0.318,0.454,25
sj,2013,31,25.18,7.86,15.81,296.33,0.534,0.555,0.206,0.143,24
sj,2013,32,27.36,9.49,42.97,298.51,0.789,0.267,0.2,0.185,23
sj,2013,33,26.16,7.7,32.24,297.31,0.457,0.798,0.67,0.531,23
sj,2013,34,30.85,6.52,0.0,302.0,0.191,0.721,0.415,0.236,25
sj,2013,35,24.49,6.2,50.83,295.64,0.639,0.108,0.391,0.437,24
sj,2013,36,26.36,8.39,10.42,297.51,0.108,0.269,0.783,0.661,22
sj,2013,37,27.95,8.58,42.39,299.1,0.418,0.691,0.169,0.442,19
sj,2013,38,26.67,7.12,36.54,297.82,0.363,0.376,0.422,0.65,30
sj,2013,39,25.99,9.04,27.89,297.14,0.278,0.689,0.127,0.731,32
sj,2013,40,34.47,7.39,54.84,305.62,0.546,0.53,0.147,0.463,26
sj,2013,41,29.38,7.32,80.27,300.53,0.129,0.159,0.601,0.15,25
sj,2013,42,23.96,7.03,64.01,295.11,0.563,0.23,0.222,0.169,19
sj,2013,43,31.56,8.72,59.92,302.71,0.537,0.367,0.244,0.185,22
sj,2013,44,31.98,8.56,49.12,303.13,0.129,0.778,0.659,0.305,36
sj,2013,45,28.17,8.27,70.57,299.32,0.668,0.56,0.19,0.337,27
sj,2013,46,24.87,6.03,81.12,296.02,0.76,0.268,0.185,0.238,17
sj,2013,47,28.92,8.82,57.21,300.07,0.703,0.693,0.743,0.277,22
sj,2013,48,27.25,9.61,49.82,298.4,0.644,0.559,0.224,0.482,28
sj,2013,49,29.2,7.35,29.43,300.35,0.454,0.688,0.613,0.48,25
sj,2013,50,28.72,10.6,51.31,299.87,0.582,0.711,0.545,0.633,17
sj,2013,51,27.58,6.78,35.82,298.73,0.66,0.243,0.489,0.613,17
sj,2013,52,24.41,8.44,63.93,295.56,0.488,0.104,0.633,0.125,20
sj,2014,1,25.65,8.65,37.58,296.8,0.329,0.204,0.314,0.714,25
sj,2014,2,33.18,7.6,44.49,304.33,0.374,0.389,0.587,0.102,29
sj,2014,3,23.42,9.26,28.96,294.57,0.55,0.145,0.506,0.493,35
sj,2014,4,34.18,9.21,60.48,305.33,0.289,0.678,0.449,0.154,30
sj,2014,5,27.49,7.55,53.93,298.64,0.652,0.462,0.408,0.203,28
sj,2014,6,25.85,6.13,38.35,297.0,0.519,0.615,0.799,0.753,20
sj,2014,7,24.93,9.85,64.42,296.08,0.183,0.387,0.688,0.369,28
sj,2014,8,33.65,9.54,30.22,304.8,0.334,0.118,0.117,0.682,20
sj,2014,9,28.42,6.23,46.46,299.57,0.282,0.401,0.711,0.689,21
sj,2014,10,29.54,7.47,16.6,300.69,0.193,0.156,0.61,0.448,7
sj,2014,11,32.98,7.54,27.96,304.13,0.527,0.195,0.626,0.56,26
sj,2014,12,27.7,7.8,22.44,298.85,0.734,0.275,0.29,0.632,18
sj,2014,13,32.48,7.73,39.57,303.63,0.124,0.144,0.735,0.197,20
sj,2014,14,20.73,8.88,54.74,291.88,0.115,0.565,0.774,0.492,21
sj,2014,15,23.31,7.47,55.89,294.46,0.239,0.496,0.425,0.78,15
sj,2014,16,23.15,9.16,25.31,294.3,0.695,0.493,0.466,0.18,18
sj,2014,17,29.29,8.69,43.53,300.44,0.48,0.157,0.421,0.439,22
sj,2014,18,29.31,8.9,0.0,300.46,0.556,0.482,0.144,0.459,17
sj,2014,19,27.45,9.37,27.08,298.6,0.215,0.331,0.63,0.464,19
sj,2014,20,28.97,7.75,34.16,300.12,0.789,0.64,0.119,0.146,15
sj,2014,21,30.65,7.92,36.39,301.8,0.174,0.56,0.675,0.366,39
sj,2014,22,28.34,6.56,58.38,299.49,0.504,0.544,0.659,0.377,19
sj,2014,23,28.2,8.85,49.69,299.35,0.655,0.322,0.7,0.734,20
sj,2014,24,27.0,7.6,20.9,298.15,0.408,0.531,0.158,0.718,23
sj,2014,25,28.07,9.41,38.41,299.22,0.789,0.568,0.544,0.216,27
sj,2014,26,27.44,8.99,63.75,298.59,0.604,0.723,0.156,0.612,38
sj,2014,27,29.02,7.7,43.37,300.17,0.597,0.32,0.43,0.675,30
sj,2014,28,21.63,7.39,65.94,292.78,0.335,0.222,0.598,0.678,22
sj,2014,29,27.28,7.63,32.16,298.43,0.415,0.624,0.556,0.535,17
sj,2014,30,30.99,7.57,48.07,302.14,0.544,0.188,0.573,0.328,24
sj,2014,31,26.61,8.2,45.67,297.76,0.259,0.686,0.295,0.55,22
sj,2014,32,28.38,9.94,19.99,299.53,0.123,0.313,0.557,0.757,21
sj,2014,33,29.05,8.49,52.69,300.2,0.282,0.735,0.57,0.492,30
sj,2014,34,27.6,7.03,62.14,298.75,0.483,0.366,0.784,0.178,22
sj,2014,35,26.39,7.91,46.64,297.54,0.296,0.701,0.305,0.738,24
sj,2014,36,30.22,8.62,21.29,301.37,0.681,0.297,0.711,0.179,29
sj,2014,37,29.1,9.84,35.53,300.25,0.109,0.428,0.311,0.519,23
sj,2014,38,24.84,6.93,59.01,295.99,0.725,0.23,0.155,0.268,30
sj,2014,39,28.21,9.16,21.45,299.36,0.166,0.737,0.568,0.681,24
sj,2014,40,28.57,9.0,0.0,299.72,0.322,0.404,0.642,0.521,25
sj,2014,41,27.59,8.95,72.25,298.74,0.514,0.592,0.266,0.459,32
sj,2014,42,27.26,7.16,83.42,298.41,0.765,0.52,0.621,0.454,23
sj,2014,43,26.13,8.19,25.15,297.28,0.431,0.132,0.198,0.294,15
sj,2014,44,23.78,7.92,9.91,294.93,0.245,0.462,0.104,0.105,24
sj,2014,45,27.07,7.25,46.38,298.22,0.459,0.305,0.752,0.378,29
sj,2014,46,28.64,7.25,33.62,299.79,0.455,0.712,0.445,0.592,18
sj,2014,47,25.87,6.49,3.94,297.02,0.735,0.6,0.526,0.317,11
sj,2014,48,26.55,8.15,72.24,297.7,0.18,0.369,0.419,0.358,29
sj,2014,49,27.37,7.01,37.37,298.52,0.156,0.348,0.759,0.568,22
sj,2014,50,24.73,9.41,38.03,295.88,0.545,0.739,0.529,0.712,23
sj,2014,51,26.16,8.36,17.13,297.31,0.108,0.395,0.307,0.44,22
sj,2014,52,26.35,8.09,43.2,297.5,0.34,0.61,0.557,0.692,18
sj,2015,1,26.06,9.78,16.13,297.21,0.314,0.652,0.412,0.659,27
sj,2015,2,28.87,8.26,37.31,300.02,0.323,0.508,0.36,0.521,27
sj,2015,3,31.1,9.13,18.18,302.25,0.401,0.2,0.723,0.342,22
sj,2015,4,31.93,9.4,28.76,303.08,0.387,0.318,0.574,0.524,24
sj,2015,5,24.3,7.41,39.47,295.45,0.582,0.198,0.44,0.119,23
sj,2015,6,29.64,8.01,31.27,300.79,0.122,0.372,0.212,0.116,22
sj,2015,7,27.22,9.6,51.22,298.37,0.181,0.769,0.32,0.722,23
sj,2015,8,31.52,8.37,37.85,302.67,0.37,0.338,0.479,0.208,26
sj,2015,9,33.2,10.23,52.76,304.35,0.408,0.312,0.282,0.236,30
sj,2015,10,27.5,7.53,0.41,298.65,0.506,0.197,0.411,0.538,24
sj,2015,11,20.41,7.71,62.02,291.56,0.534,0.241,0.377,0.128,31
sj,2015,12,35.93,6.5,45.07,307.08,0.473,0.709,0.191,0.653,26
sj,2015,13,28.81,7.66,52.43,299.96,0.761,0.204,0.424,0.787,22
sj,2015,14,31.38,7.95,4.54,302.53,0.3,0.242,0.633,0.371,28
sj,2015,15,21.59,11.14,61.12,292.74,0.787,0.385,0.679,0.635,26
sj,2015,16,29.67,8.09,36.05,300.82,0.698,0.407,0.693,0.725,23
sj,2015,17,29.78,5.06,53.12,300.93,0.113,0.434,0.581,0.606,22
sj,2015,18,25.68,8.41,20.57,296.83,0.663,0.295,0.247,0.77,15
sj,2015,19,30.86,8.51,54.5,302.01,0.618,0.2,0.627,0.638,28
sj,2015,20,31.57,8.71,47.03,302.72,0.162,0.441,0.154,0.385,30
sj,2015,21,25.97,7.86,24.15,297.12,0.666,0.763,0.151,0.769,20
sj,2015,22,22.32,8.21,40.02,293.47,0.656,0.595,0.135,0.151,17
sj,2015,23,23.18,7.24,24.62,294.33,0.662,0.75,0.384,0.734,15
sj,2015,24,27.21,6.0,52.71,298.36,0.785,0.522,0.35,0.553,15
sj,2015,25,18.94,8.18,76.01,290.09,0.15,0.578,0.269,0.6,28
sj,2015,26,29.43,8.51,61.2,300.58,0.2,0.643,0.29,0.448,39
sj,2015,27,25.92,7.59,29.52,297.07,0.624,0.322,0.1,0.458,22
sj,2015,28,27.02,8.16,56.5,298.17,0.321,0.171,0.352,0.289,19
sj,2015,29,26.57,8.87,45.25,297.72,0.404,0.737,0.364,0.775,25
sj,2015,30,28.8,7.42,0.0,299.95,0.543,0.593,0.103,0.217,20
sj,2015,31,30.9,9.24,41.77,302.05,0.309,0.174,0.647,0.551,26
sj,2015,32,27.58,7.55,40.01,298.73,0.403,0.42,0.246,0.358,25
sj,2015,33,26.48,7.85,30.94,297.63,0.676,0.695,0.248,0.56,29
sj,2015,34,31.12,7.92,53.41,302.27,0.525,0.307,0.196,0.556,19
sj,2015,35,25.39,9.13,16.21,296.54,0.599,0.239,0.723,0.301,30
sj,2015,36,26.37,7.84,40.82,297.52,0.287,0.685,0.11,0.365,17
sj,2015,37,27.31,7.01,0.0,298.46,0.472,0.517,0.107,0.425,19
sj,2015,38,28.07,8.55,16.38,299.22,0.642,0.641,0.465,0.783,28
sj,2015,39,30.02,8.59,32.92,301.17,0.112,0.305,0.641,0.463,21
sj,2015,40,24.28,6.53,43.3,295.43,0.693,0.117,0.729,0.648,21
sj,2015,41,27.33,9.49,7.98,298.48,0.146,0.26,0.273,0.439,18
sj,2015,42,27.47,9.66,40.42,298.62,0.774,0.153,0.356,0.258,26
sj,2015,43,26.87,7.68,65.63,298.02,0.505,0.203,0.668,0.545,26
sj,2015,44,32.74,6.98,23.78,303.89,0.742,0.303,0.429,0.723,16
sj,2015,45,27.04,8.15,23.3,298.19,0.194,0.771,0.471,0.269,32
sj,2015,46,34.07,8.01,36.2,305.22,0.665,0.422,0.483,0.403,23
sj,2015,47,23.73,7.73,31.42,294.88,0.772,0.238,0.766,0.796,24
sj,2015,48,23.21,8.46,80.49,294.36,0.151,0.536,0.787,0.233,17
sj,2015,49,29.28,8.02,27.17,300.43,0.434,0.603,0.273,0.548,25
sj,2015,50,25.13,8.47,69.68,296.28,0.449,0.108,0.106,0.35,26
sj,2015,51,24.25,8.6,57.65,295.4,0.61,0.167,0.4,0.12,21
sj,2015,52,34.3,7.75,32.83,305.45,0.378,0.744,0.795,0.131,21
sj,2016,1,26.05,9.32,68.39,297.2,0.743,0.766,0.504,0.35,22
sj,2016,2,25.95,8.79,0.6,297.1,0.56,0.268,0.234,0.743,26
sj,2016,3,28.04,7.05,31.86,299.19,0.765,0.507,0.406,0.506,25
sj,2016,4,32.85,8.1,22.02,304.0,0.726,0.763,0.725,0.394,17
sj,2016,5,27.62,9.51,10.98,298.77,0.514,0.23,0.332,0.699,23
sj,2016,6,20.19,8.2,48.73,291.34,0.333,0.586,0.64,0.558,23
sj,2016,7,22.66,8.32,29.92,293.81,0.19,0.636,0.1,0.392,21
sj,2016,8,25.97,8.03,18.26,297.12,0.261,0.101,0.611,0.777,16
sj,2016,9,30.04,6.85,53.33,301.19,0.396,0.312,0.328,0.599,25
sj,2016,10,26.61,8.46,55.67,297.76,0.665,0.789,0.628,0.375,22
sj,2016,11,33.22,8.98,41.71,304.37,0.597,0.217,0.646,0.509,21
sj,2016,12,29.95,6.5,61.04,301.1,0.631,0.172,0.46,0.456,18
sj,2016,13,29.82,7.82,50.69,300.97,0.6,0.423,0.745,0.586,28
sj,2016,14,30.0,8.42,56.78,301.15,0.237,0.342,0.335,0.785,22
sj,2016,15,29.32,8.78,49.16,300.47,0.763,0.447,0.366,0.214,33
sj,2016,16,30.09,8.85,34.12,301.24,0.687,0.108,0.593,0.779,24
