city,year,weekofyear,station_avg_temp_c,reanalysis_specific_humidity_g_per_kg,station_precip_mm,reanalysis_dew_point_temp_k,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,total_cases
sj,2000,43,23.58,6.86,8.26,294.08,0.688,0.577,0.529,0.209,28
sj,2000,44,20.09,8.78,26.71,292.36,0.211,0.481,0.403,0.456,12
sj,2000,45,26.64,8.79,13.86,298.12,0.576,0.409,0.407,0.263,21
sj,2000,46,24.17,7.15,83.43,296.42,0.529,0.524,0.627,0.586,22
sj,2000,47,24.64,8.78,6.45,295.8,0.37,0.485,0.653,0.765,27
sj,2000,48,25.32,6.56,45.76,295.62,0.471,0.187,0.154,0.731,11
sj,2000,49,27.82,7.13,58.39,297.13,0.111,0.72,0.742,0.379,16
sj,2000,50,19.99,3.94,21.41,293.56,0.679,0.333,0.616,0.629,16
sj,2000,51,25.66,8.45,43.62,297.47,0.224,0.727,0.842,0.517,15
sj,2000,52,24.23,9.25,38.29,295.64,0.452,0.213,0.236,0.78,9
sj,2001,1,28.55,6.85,63.7,297.31,0.163,0.283,0.733,0.578,24
sj,2001,2,25.36,7.74,9.79,297.22,0.354,0.733,0.462,0.676,25
sj,2001,3,24.77,6.6,9.19,294.68,0.474,0.499,0.179,0.399,26
sj,2001,4,22.94,8.58,53.49,293.93,0.796,0.436,0.331,0.549,22
sj,2001,5,20.18,9.1,66.2,291.08,0.777,0.641,0.822,0.687,24
sj,2001,6,33.99,6.09,14.06,305.37,0.827,0.838,0.316,0.65,27
sj,2001,7,19.39,5.96,24.41,290.02,0.839,0.449,0.833,0.409,21
sj,2001,8,23.49,6.74,48.53,295.4,0.128,0.38,0.137,0.182,22
sj,2001,9,27.79,6.53,2.93,299.65,0.137,0.276,0.566,0.744,23
sj,2001,10,23.87,7.01,69.07,293.98,0.74,0.361,0.74,0.324,21
sj,2001,11,24.86,7.27,7.17,296.58,0.356,0.638,0.706,0.849,16
sj,2001,12,25.43,8.24,0.0,296.75,0.786,0.473,0.201,0.374,11
sj,2001,13,27.28,6.46,39.43,299.64,0.415,0.819,0.664,0.506,18
sj,2001,14,19.18,5.56,47.05,289.8,0.657,0.543,0.59,0.325,14
sj,2001,15,27.4,10.36,45.5,298.94,0.688,0.429,0.457,0.846,24
sj,2001,16,24.0,6.98,23.02,295.94,0.176,0.59,0.817,0.485,18
sj,2001,17,16.99,6.51,15.44,285.82,0.149,0.441,0.487,0.334,7
sj,2001,18,25.77,8.76,10.6,296.01,0.327,0.396,0.412,0.101,20
sj,2001,19,28.74,7.08,9.44,299.8,0.342,0.282,0.46,0.612,17
sj,2001,20,29.07,6.13,7.01,300.67,0.213,0.136,0.204,0.789,22
sj,2001,21,30.75,6.28,0.0,302.0,0.74,0.564,0.222,0.68,27
sj,2001,22,24.8,6.28,86.22,297.74,0.371,0.71,0.339,0.699,22
sj,2001,23,28.54,8.39,50.92,300.03,0.36,0.114,0.224,0.644,25
sj,2001,24,31.44,7.81,68.77,302.6,0.208,0.62,0.23,0.48,24
sj,2001,25,27.0,7.55,29.93,297.06,0.305,0.138,0.546,0.321,23
sj,2001,26,25.51,8.69,61.48,297.69,0.29,0.558,0.515,0.397,23
sj,2001,27,30.4,7.34,3.89,301.23,0.486,0.109,0.697,0.49,20
sj,2001,28,27.25,7.02,41.1,298.67,0.821,0.234,0.25,0.744,28
sj,2001,29,17.53,5.27,35.73,288.71,0.488,0.656,0.648,0.687,17
sj,2001,30,24.48,6.6,12.64,295.3,0.253,0.658,0.117,0.834,17
sj,2001,31,25.63,7.66,44.14,299.96,0.536,0.407,0.551,0.802,20
sj,2001,32,26.12,7.83,35.35,297.61,0.613,0.355,0.816,0.283,27
sj,2001,33,29.32,5.89,24.83,299.89,0.295,0.134,0.461,0.819,23
sj,2001,34,18.17,7.49,29.48,289.21,0.758,0.776,0.838,0.837,26
sj,2001,35,27.16,8.99,24.22,295.8,0.734,0.563,0.507,0.224,17
sj,2001,36,30.2,6.69,13.44,301.83,0.378,0.404,0.67,0.679,14
sj,2001,37,21.7,6.6,44.93,293.4,0.284,0.633,0.739,0.756,16
sj,2001,38,31.45,5.24,27.05,301.74,0.766,0.683,0.488,0.468,22
sj,2001,39,25.07,7.59,35.15,296.67,0.462,0.815,0.223,0.516,16
sj,2001,40,29.76,8.54,40.29,301.8,0.556,0.449,0.4,0.499,27
sj,2001,41,19.11,8.04,46.94,289.09,0.138,0.357,0.696,0.567,21
sj,2001,42,32.47,7.66,9.94,303.51,0.102,0.845,0.311,0.147,22
sj,2001,43,24.87,7.37,40.58,296.64,0.339,0.645,0.446,0.595,21
sj,2001,44,27.85,5.66,40.74,299.74,0.735,0.13,0.437,0.769,21
sj,2001,45,29.48,9.28,79.86,301.95,0.402,0.521,0.64,0.482,30
sj,2001,46,25.76,6.62,24.64,297.55,0.194,0.169,0.601,0.592,22
sj,2001,47,21.06,9.23,22.48,290.56,0.285,0.601,0.197,0.306,13
sj,2001,48,27.36,7.88,45.25,299.13,0.626,0.815,0.558,0.291,23
sj,2001,49,30.75,7.74,22.49,302.39,0.4,0.756,0.558,0.433,19
sj,2001,50,28.79,7.62,15.94,299.09,0.785,0.793,0.732,0.834,24
sj,2001,51,26.44,10.43,0.57,299.06,0.584,0.317,0.293,0.539,19
sj,2001,52,24.17,8.86,18.89,295.26,0.352,0.698,0.729,0.204,23
sj,2002,1,25.08,5.59,12.18,296.46,0.417,0.565,0.8,0.836,11
sj,2002,2,27.73,7.57,37.76,298.47,0.184,0.724,0.232,0.418,22
sj,2002,3,29.18,7.72,18.6,301.56,0.171,0.646,0.832,0.339,21
sj,2002,4,28.39,8.12,7.57,300.24,0.724,0.716,0.412,0.341,24
sj,2002,5,21.39,7.21,37.55,292.62,0.172,0.215,0.5,0.151,9
sj,2002,6,23.0,7.22,30.4,293.88,0.717,0.226,0.21,0.746,24
sj,2002,7,23.26,9.16,30.88,295.7,0.293,0.664,0.478,0.663,19
sj,2002,8,17.99,6.85,35.36,289.83,0.164,0.232,0.232,0.717,12
sj,2002,9,28.79,7.63,35.03,301.41,0.755,0.244,0.266,0.592,18
sj,2002,10,22.06,6.47,96.44,295.01,0.12,0.137,0.551,0.465,16
sj,2002,11,25.66,5.58,15.95,296.96,0.303,0.491,0.336,0.523,22
sj,2002,12,25.96,5.85,27.1,297.47,0.229,0.768,0.452,0.457,28
sj,2002,13,33.74,9.85,4.3,303.96,0.261,0.174,0.255,0.417,18
sj,2002,14,23.4,6.69,17.19,293.67,0.368,0.299,0.558,0.254,12
sj,2002,15,18.76,4.8,5.12,291.23,0.666,0.715,0.495,0.848,7
sj,2002,16,28.91,6.81,48.99,300.63,0.228,0.834,0.474,0.47,20
sj,2002,17,26.11,8.18,50.45,298.81,0.75,0.542,0.369,0.407,20
sj,2002,18,24.35,5.33,30.71,293.94,0.438,0.526,0.446,0.594,20
sj,2002,19,29.1,7.45,78.49,299.77,0.642,0.392,0.261,0.522,26
sj,2002,20,22.66,8.29,51.26,294.4,0.139,0.809,0.394,0.793,20
sj,2002,21,23.6,9.44,44.09,294.53,0.658,0.739,0.472,0.449,17
sj,2002,22,34.01,8.49,39.24,304.72,0.681,0.472,0.502,0.824,19
sj,2002,23,26.21,5.0,50.36,298.12,0.523,0.837,0.555,0.419,18
sj,2002,24,21.28,8.47,18.12,292.83,0.328,0.756,0.118,0.49,18
sj,2002,25,22.96,6.83,34.44,292.55,0.13,0.446,0.492,0.261,13
sj,2002,26,18.49,6.21,56.91,289.91,0.707,0.831,0.161,0.589,23
sj,2002,27,22.81,8.01,45.97,293.43,0.845,0.819,0.13,0.629,24
sj,2002,28,28.89,9.8,46.65,299.66,0.787,0.526,0.398,0.434,19
sj,2002,29,27.51,6.15,68.22,299.9,0.631,0.723,0.832,0.732,31
sj,2002,30,27.46,8.17,39.43,298.9,0.829,0.629,0.462,0.442,19
sj,2002,31,26.38,9.0,7.84,297.86,0.435,0.798,0.559,0.126,15
sj,2002,32,33.45,8.22,30.44,305.17,0.833,0.277,0.137,0.215,14
sj,2002,33,28.78,7.81,51.29,299.92,0.251,0.7,0.563,0.748,32
sj,2002,34,22.59,10.18,59.89,294.71,0.384,0.678,0.505,0.237,17
sj,2002,35,22.35,8.49,58.03,294.16,0.227,0.803,0.241,0.18,19
sj,2002,36,25.67,6.97,0.0,295.57,0.458,0.416,0.15,0.545,15
sj,2002,37,27.16,10.29,72.91,298.0,0.457,0.145,0.717,0.586,26
sj,2002,38,25.54,10.26,37.27,298.48,0.597,0.604,0.82,0.378,19
sj,2002,39,26.16,5.96,0.99,295.88,0.659,0.198,0.249,0.57,16
sj,2002,40,20.17,7.03,77.65,291.77,0.497,0.762,0.67,0.631,14
sj,2002,41,20.51,7.89,39.47,291.04,0.195,0.513,0.629,0.152,18
sj,2002,42,21.4,8.35,5.46,291.98,0.281,0.371,0.232,0.451,16
sj,2002,43,25.83,9.9,38.31,297.05,0.429,0.327,0.377,0.277,20
sj,2002,44,18.26,5.98,0.0,289.18,0.781,0.694,0.446,0.161,16
sj,2002,45,27.24,8.68,5.88,300.4,0.269,0.695,0.736,0.846,18
sj,2002,46,25.58,9.14,29.08,294.95,0.518,0.322,0.227,0.246,19
sj,2002,47,23.49,6.63,54.29,295.45,0.299,0.785,0.205,0.608,24
sj,2002,48,23.46,6.1,39.05,295.34,0.424,0.29,0.682,0.679,17
sj,2002,49,20.95,7.54,60.72,289.89,0.129,0.256,0.489,0.707,12
sj,2002,50,19.52,4.69,58.57,289.68,0.408,0.46,0.746,0.582,16
sj,2002,51,26.95,9.39,8.31,298.05,0.173,0.451,0.25,0.239,20
sj,2002,52,26.78,7.24,25.4,298.22,0.306,0.291,0.201,0.808,19
sj,2003,1,18.89,7.89,16.0,290.62,0.579,0.687,0.258,0.788,13
sj,2003,2,30.31,6.04,14.23,301.61,0.196,0.686,0.804,0.646,20
sj,2003,3,25.18,5.73,47.58,293.92,0.188,0.279,0.477,0.479,21
sj,2003,4,23.22,6.89,66.82,294.91,0.608,0.492,0.241,0.696,18
sj,2003,5,33.19,8.93,17.59,304.57,0.757,0.313,0.691,0.387,20
sj,2003,6,19.54,8.69,44.11,289.96,0.118,0.265,0.634,0.523,18
sj,2003,7,28.56,6.85,41.2,299.57,0.809,0.138,0.662,0.293,27
sj,2003,8,26.71,6.0,45.26,297.4,0.284,0.273,0.12,0.819,23
sj,2003,9,16.7,7.78,82.57,287.4,0.58,0.251,0.766,0.709,16
sj,2003,10,25.55,6.28,38.16,296.11,0.349,0.227,0.259,0.168,14
sj,2003,11,33.69,8.85,37.44,303.9,0.535,0.681,0.573,0.762,26
sj,2003,12,20.23,6.88,57.87,290.01,0.227,0.697,0.296,0.215,15
sj,2003,13,20.75,8.31,15.63,291.33,0.674,0.331,0.262,0.617,25
sj,2003,14,23.74,8.82,50.72,296.6,0.558,0.568,0.201,0.62,22
sj,2003,15,21.77,6.24,31.39,291.7,0.267,0.431,0.657,0.278,23
sj,2003,16,26.29,5.95,77.65,298.56,0.796,0.469,0.496,0.551,24
sj,2003,17,26.38,4.58,10.41,298.22,0.451,0.822,0.438,0.236,15
sj,2003,18,25.97,7.83,27.48,295.27,0.124,0.527,0.216,0.806,15
sj,2003,19,27.77,7.13,24.76,299.01,0.273,0.779,0.475,0.667,17
sj,2003,20,25.97,7.7,23.45,297.79,0.843,0.495,0.579,0.745,28
sj,2003,21,28.58,6.44,51.84,300.59,0.839,0.839,0.78,0.699,18
sj,2003,22,27.66,8.19,37.2,299.03,0.406,0.662,0.35,0.348,15
sj,2003,23,20.01,5.93,0.0,291.19,0.515,0.116,0.337,0.233,19
sj,2003,24,28.69,8.07,17.7,299.67,0.737,0.217,0.555,0.434,20
sj,2003,25,30.1,7.85,38.93,301.04,0.778,0.512,0.213,0.252,24
sj,2003,26,21.22,6.22,0.0,293.1,0.458,0.37,0.268,0.134,15
sj,2003,27,26.41,5.09,41.67,296.49,0.682,0.708,0.634,0.177,20
sj,2003,28,17.38,7.18,20.46,286.97,0.41,0.233,0.718,0.794,26
sj,2003,29,26.59,6.94,45.89,296.96,0.513,0.159,0.737,0.56,22
sj,2003,30,30.1,7.12,0.0,300.16,0.647,0.737,0.454,0.482,24
sj,2003,31,28.93,5.44,24.91,299.22,0.651,0.261,0.745,0.384,26
sj,2003,32,22.79,5.97,37.37,292.72,0.84,0.213,0.166,0.606,17
sj,2003,33,34.0,7.57,41.13,303.38,0.734,0.49,0.732,0.435,35
sj,2003,34,23.66,7.7,18.99,294.53,0.215,0.616,0.136,0.315,13
sj,2003,35,29.19,7.22,27.33,300.44,0.561,0.38,0.589,0.182,21
sj,2003,36,23.76,7.54,28.7,294.12,0.116,0.486,0.359,0.416,28
sj,2003,37,29.86,7.61,44.8,301.31,0.574,0.797,0.836,0.132,21
sj,2003,38,27.01,5.81,63.07,298.06,0.439,0.732,0.343,0.46,15
sj,2003,39,32.36,7.69,34.3,302.85,0.418,0.798,0.477,0.828,19
sj,2003,40,20.67,5.73,49.13,289.21,0.392,0.498,0.832,0.24,15
sj,2003,41,26.45,8.38,23.44,298.6,0.606,0.298,0.366,0.362,23
sj,2003,42,20.48,6.31,51.51,292.13,0.775,0.357,0.129,0.471,12
sj,2003,43,27.47,8.2,22.68,296.81,0.633,0.635,0.845,0.356,15
sj,2003,44,24.76,7.29,59.11,295.88,0.796,0.298,0.13,0.181,16
sj,2003,45,26.23,5.96,34.14,297.43,0.354,0.346,0.167,0.119,16
sj,2003,46,30.09,8.43,32.62,300.77,0.336,0.68,0.674,0.733,29
sj,2003,47,26.38,8.44,56.77,296.72,0.171,0.846,0.678,0.17,23
sj,2003,48,24.88,6.89,70.02,294.98,0.173,0.307,0.411,0.132,20
sj,2003,49,27.96,7.19,36.57,299.22,0.77,0.419,0.346,0.477,20
sj,2003,50,25.89,7.73,90.16,296.51,0.41,0.718,0.293,0.827,27
sj,2003,51,27.0,8.52,42.98,299.4,0.298,0.797,0.186,0.523,24
sj,2003,52,22.23,8.62,25.89,293.51,0.294,0.597,0.189,0.803,25
sj,2004,1,27.33,6.53,51.94,297.74,0.217,0.178,0.85,0.442,27
sj,2004,2,28.42,9.0,105.32,297.86,0.811,0.336,0.366,0.439,22
sj,2004,3,27.34,7.56,47.03,299.0,0.129,0.59,0.354,0.592,15
sj,2004,4,34.04,8.16,53.15,304.26,0.377,0.291,0.389,0.248,20
sj,2004,5,25.14,6.52,21.51,296.11,0.384,0.541,0.825,0.491,10
sj,2004,6,29.16,8.68,67.29,302.09,0.522,0.195,0.664,0.481,24
sj,2004,7,26.34,6.55,7.51,297.73,0.517,0.262,0.745,0.586,19
sj,2004,8,20.85,9.4,11.91,290.96,0.766,0.673,0.25,0.319,19
sj,2004,9,27.97,6.76,0.0,298.37,0.104,0.647,0.812,0.667,20
sj,2004,10,30.14,6.08,43.3,301.53,0.549,0.774,0.846,0.159,20
sj,2004,11,27.91,8.45,50.21,298.85,0.472,0.789,0.124,0.15,20
sj,2004,12,26.51,3.82,3.05,299.54,0.53,0.473,0.535,0.383,24
sj,2004,13,27.83,7.94,52.44,301.26,0.526,0.152,0.228,0.152,25
sj,2004,14,30.66,8.61,99.31,301.06,0.167,0.118,0.142,0.74,19
sj,2004,15,27.48,6.91,83.38,298.64,0.842,0.213,0.723,0.139,21
sj,2004,16,27.98,7.94,27.79,299.54,0.375,0.491,0.447,0.345,18
sj,2004,17,16.47,8.12,0.0,289.09,0.2,0.62,0.736,0.278,11
sj,2004,18,24.03,7.6,104.19,296.02,0.661,0.154,0.544,0.667,19
sj,2004,19,29.25,6.34,30.59,299.71,0.193,0.516,0.547,0.694,26
sj,2004,20,26.6,7.89,65.23,299.32,0.611,0.831,0.413,0.503,21
sj,2004,21,30.48,7.03,12.92,302.42,0.193,0.248,0.674,0.173,13
sj,2004,22,26.17,7.4,28.16,298.11,0.54,0.342,0.623,0.818,21
sj,2004,23,30.49,7.45,0.0,302.35,0.252,0.505,0.461,0.529,11
sj,2004,24,23.42,8.21,23.85,295.55,0.581,0.693,0.569,0.503,20
sj,2004,25,27.16,7.07,0.0,297.78,0.168,0.544,0.266,0.651,25
sj,2004,26,23.02,6.74,50.41,291.84,0.642,0.49,0.376,0.138,14
sj,2004,27,34.43,6.81,34.58,307.4,0.179,0.354,0.712,0.388,16
sj,2004,28,22.07,7.83,59.89,293.09,0.763,0.492,0.514,0.259,24
sj,2004,29,24.5,6.95,54.22,296.46,0.308,0.14,0.805,0.803,20
sj,2004,30,29.98,6.77,0.0,299.22,0.275,0.727,0.209,0.27,22
sj,2004,31,24.24,9.09,51.55,295.4,0.784,0.213,0.785,0.777,25
sj,2004,32,17.87,7.75,54.05,288.74,0.819,0.539,0.686,0.383,17
sj,2004,33,31.51,7.5,55.38,301.96,0.34,0.32,0.507,0.474,20
sj,2004,34,28.21,7.8,60.22,299.85,0.563,0.609,0.66,0.487,23
sj,2004,35,23.59,9.55,40.41,295.55,0.112,0.518,0.663,0.72,20
sj,2004,36,25.14,9.64,29.66,294.49,0.158,0.246,0.103,0.434,18
sj,2004,37,30.59,8.15,41.12,301.89,0.589,0.193,0.322,0.785,15
sj,2004,38,28.52,8.08,45.19,299.35,0.443,0.665,0.124,0.208,23
sj,2004,39,28.0,5.49,32.29,298.72,0.47,0.68,0.303,0.471,17
sj,2004,40,22.23,7.74,45.99,291.57,0.316,0.281,0.162,0.472,25
sj,2004,41,27.53,6.52,10.91,299.94,0.717,0.249,0.637,0.67,21
sj,2004,42,29.98,7.6,70.25,301.44,0.598,0.735,0.845,0.415,27
sj,2004,43,22.71,8.99,42.17,291.95,0.179,0.269,0.731,0.397,18
sj,2004,44,22.41,6.31,30.09,294.39,0.531,0.45,0.561,0.435,17
sj,2004,45,23.28,7.49,58.26,293.66,0.659,0.356,0.7,0.74,14
sj,2004,46,25.38,9.12,71.66,295.71,0.291,0.483,0.811,0.386,27
sj,2004,47,30.83,7.1,29.65,302.64,0.617,0.5,0.391,0.709,25
sj,2004,48,25.37,9.47,22.16,296.82,0.829,0.285,0.287,0.205,26
sj,2004,49,25.92,6.8,41.7,296.12,0.484,0.706,0.366,0.408,15
sj,2004,50,24.31,7.64,25.01,295.19,0.102,0.324,0.516,0.351,16
sj,2004,51,25.04,7.94,74.14,296.7,0.17,0.733,0.231,0.674,19
sj,2004,52,20.06,7.67,0.0,290.97,0.269,0.643,0.728,0.161,19
sj,2005,1,27.57,6.47,56.43,297.61,0.154,0.809,0.434,0.607,16
sj,2005,2,25.8,8.35,33.13,295.81,0.586,0.486,0.295,0.201,14
sj,2005,3,26.7,9.05,0.0,298.03,0.615,0.504,0.801,0.389,25
sj,2005,4,21.32,5.94,78.19,292.01,0.57,0.365,0.61,0.678,13
sj,2005,5,30.08,8.89,61.15,300.76,0.134,0.755,0.62,0.13,19
sj,2005,6,21.21,8.27,43.29,293.11,0.141,0.817,0.836,0.654,18
sj,2005,7,23.22,5.31,78.82,295.2,0.447,0.72,0.613,0.582,22
sj,2005,8,36.54,8.17,23.4,308.15,0.429,0.284,0.257,0.541,20
sj,2005,9,26.38,7.51,33.59,296.95,0.711,0.341,0.669,0.805,23
sj,2005,10,28.7,8.17,28.56,300.43,0.178,0.411,0.193,0.408,22
sj,2005,11,26.43,9.57,0.0,297.86,0.287,0.189,0.263,0.306,19
sj,2005,12,26.03,6.86,0.0,297.96,0.347,0.511,0.266,0.118,28
sj,2005,13,26.04,7.36,81.05,299.11,0.558,0.84,0.166,0.831,17
sj,2005,14,27.97,7.37,48.86,299.35,0.848,0.384,0.587,0.826,22
sj,2005,15,23.73,6.76,54.65,295.86,0.216,0.283,0.741,0.126,22
sj,2005,16,20.13,8.26,15.41,294.33,0.623,0.546,0.256,0.522,23
sj,2005,17,18.63,6.69,8.16,287.88,0.108,0.84,0.267,0.711,12
sj,2005,18,27.22,8.57,53.81,299.51,0.756,0.215,0.683,0.211,29
sj,2005,19,22.73,8.01,32.65,293.22,0.827,0.176,0.544,0.293,19
sj,2005,20,23.76,5.81,60.53,294.37,0.588,0.196,0.798,0.479,24
sj,2005,21,24.06,9.77,34.97,292.98,0.309,0.175,0.555,0.15,16
sj,2005,22,23.11,7.77,3.18,293.62,0.716,0.332,0.512,0.522,18
sj,2005,23,23.02,8.54,64.45,295.22,0.546,0.284,0.659,0.163,24
sj,2005,24,32.57,9.02,35.61,303.43,0.767,0.672,0.624,0.309,15
sj,2005,25,24.82,4.48,0.0,294.95,0.336,0.206,0.3,0.745,20
sj,2005,26,27.22,6.62,35.71,296.77,0.839,0.63,0.563,0.104,16
sj,2005,27,25.88,6.8,37.98,297.35,0.662,0.832,0.446,0.582,28
sj,2005,28,25.64,9.35,30.11,297.05,0.561,0.472,0.563,0.214,16
sj,2005,29,31.53,8.27,75.69,302.63,0.38,0.435,0.407,0.236,27
sj,2005,30,24.66,9.0,52.19,297.78,0.752,0.78,0.353,0.558,22
sj,2005,31,28.96,10.33,26.17,299.69,0.671,0.337,0.254,0.44,22
sj,2005,32,17.82,6.03,72.53,289.37,0.163,0.393,0.293,0.227,27
sj,2005,33,22.64,7.83,32.5,294.36,0.349,0.585,0.24,0.803,16
sj,2005,34,22.66,7.41,66.49,293.69,0.22,0.605,0.303,0.305,14
sj,2005,35,29.56,9.21,59.9,299.77,0.506,0.197,0.617,0.808,21
sj,2005,36,23.31,7.12,64.46,294.66,0.732,0.143,0.683,0.382,17
sj,2005,37,34.31,6.49,56.48,305.66,0.651,0.634,0.744,0.238,22
sj,2005,38,24.13,6.17,40.74,294.76,0.787,0.334,0.837,0.823,14
sj,2005,39,30.95,6.7,58.43,301.32,0.157,0.553,0.84,0.604,25
sj,2005,40,29.12,8.76,33.23,300.32,0.803,0.293,0.469,0.23,12
sj,2005,41,32.46,8.44,42.18,304.36,0.246,0.12,0.515,0.625,25
sj,2005,42,28.75,8.16,41.07,300.46,0.671,0.792,0.788,0.587,30
sj,2005,43,26.21,6.75,21.84,296.23,0.364,0.626,0.693,0.543,18
sj,2005,44,27.02,7.02,44.31,299.01,0.67,0.622,0.204,0.706,23
sj,2005,45,25.46,6.77,15.59,299.29,0.489,0.175,0.223,0.199,30
sj,2005,46,28.71,6.73,43.51,298.98,0.789,0.325,0.186,0.517,19
sj,2005,47,26.16,8.43,0.0,298.17,0.303,0.467,0.128,0.703,13
sj,2005,48,28.26,8.33,0.8,298.43,0.154,0.458,0.354,0.271,16
sj,2005,49,21.28,7.36,61.46,291.13,0.581,0.632,0.628,0.715,19
sj,2005,50,30.42,8.01,26.43,302.05,0.307,0.171,0.243,0.579,24
sj,2005,51,21.9,8.72,46.66,291.73,0.534,0.469,0.465,0.825,22
sj,2005,52,18.62,7.81,20.2,288.86,0.292,0.85,0.639,0.136,9
sj,2006,1,32.04,6.21,56.74,302.7,0.51,0.562,0.319,0.148,26
sj,2006,2,22.59,7.81,41.46,294.22,0.631,0.701,0.553,0.735,18
sj,2006,3,25.82,5.81,59.15,296.6,0.12,0.282,0.375,0.364,21
sj,2006,4,21.63,7.9,75.3,292.29,0.218,0.178,0.477,0.604,24
sj,2006,5,24.7,7.29,25.57,293.93,0.129,0.347,0.472,0.367,20
sj,2006,6,29.07,6.83,67.61,299.48,0.539,0.547,0.336,0.348,25
sj,2006,7,27.11,6.91,48.85,297.68,0.741,0.222,0.48,0.418,20
sj,2006,8,29.9,11.21,47.9,301.54,0.252,0.614,0.512,0.808,22
sj,2006,9,26.55,8.8,56.58,297.54,0.655,0.795,0.156,0.183,24
sj,2006,10,29.12,8.59,42.1,300.85,0.758,0.709,0.487,0.289,22
sj,2006,11,24.41,7.57,27.97,295.31,0.325,0.274,0.565,0.69,25
sj,2006,12,25.07,7.81,39.44,296.76,0.165,0.759,0.793,0.716,21
sj,2006,13,15.18,6.75,21.89,285.32,0.342,0.105,0.547,0.298,11
sj,2006,14,20.87,7.54,27.92,292.33,0.667,0.346,0.716,0.619,19
sj,2006,15,23.57,8.25,28.02,293.75,0.777,0.115,0.694,0.438,23
sj,2006,16,27.7,7.47,22.48,297.31,0.326,0.333,0.825,0.429,20
