iso3,country_code_a2,year,month,pm25
ARG,,2022,5,21.644
ARG,,2022,6,16.848
ARG,,2022,7,16.058
ARG,,2022,8,9.97
ARG,,2022,9,8.519
ARG,,2022,10,15.834
ARG,,2022,11,16.431
ARG,,2022,12,15.077
ARG,,2023,1,11.494
ARG,,2023,2,15.797
ARG,,2023,3,19.264
ARG,,2023,4,19.795
ARG,,2023,5,19.903
ARG,,2023,6,18.319
ARG,,2023,7,11.864
ARG,,2023,8,17.013
ARG,,2023,9,10.484
ARG,,2023,10,12.594
ARG,,2023,11,10.475
ARG,,2023,12,15.21
AUS,,2018,1,18.383
AUS,,2018,2,17.689
AUS,,2018,3,21.77
AUS,,2018,4,16.125
AUS,,2018,5,18.014
AUS,,2018,6,11.763
AUS,,2018,7,15.217
AUS,,2018,8,10.082
AUS,,2018,9,9.981
AUS,,2018,10,9.002
AUS,,2018,11,12.127
AUS,,2018,12,17.998
AUS,,2019,1,16.74
AUS,,2019,2,16.791
AUS,,2019,3,17.174
AUS,,2019,4,20.881
AUS,,2019,5,16.098
AUS,,2019,6,10.559
AUS,,2019,7,15.272
AUS,,2019,8,10.766
AUS,,2019,9,10.311
AUS,,2019,10,6.237
AUS,,2019,11,14.311
AUS,,2019,12,11.825
AUS,,2020,1,17.134
AUS,,2020,2,20.927
AUS,,2020,3,19.445
AUS,,2020,4,23.66
AUS,,2020,5,14.453
AUS,,2020,6,16.148
AUS,,2020,7,7.644
AUS,,2020,8,6.121
AUS,,2020,9,8.923
AUS,,2020,10,6.682
AUS,,2020,11,15.085
AUS,,2020,12,14.338
AUS,,2021,1,22.694
AUS,,2021,2,19.495
AUS,,2021,3,18.216
AUS,,2021,4,18.297
AUS,,2021,5,16.894
AUS,,2021,6,14.444
AUS,,2021,7,12.965
AUS,,2021,8,10.317
AUS,,2021,9,8.932
AUS,,2021,10,10.392
AUS,,2021,11,12.743
AUS,,2021,12,16.663
AUS,,2022,1,18.489
AUS,,2022,2,20.348
AUS,,2022,3,21.298
AUS,,2022,4,20.272
AUS,,2022,5,17.203
AUS,,2022,6,17.73
AUS,,2022,7,13.148
AUS,,2022,8,11.257
AUS,,2022,9,6.266
AUS,,2022,10,10.834
AUS,,2022,11,14.297
AUS,,2022,12,14.038
AUS,,2023,1,17.333
AUS,,2023,2,18.523
AUS,,2023,3,22.09
AUS,,2023,4,18.851
AUS,,2023,5,17.926
AUS,,2023,6,12.413
AUS,,2023,7,11.216
AUS,,2023,8,10.337
AUS,,2023,9,12.455
AUS,,2023,10,8.416
AUS,,2023,11,6.058
AUS,,2023,12,16.589
BGD,,2018,1,23.209
BGD,,2018,2,19.487
BGD,,2018,3,23.322
BGD,,2018,4,19.168
BGD,,2018,5,19.4
BGD,,2018,6,14.295
BGD,,2018,7,10.711
BGD,,2018,8,8.034
BGD,,2018,9,13.61
BGD,,2018,10,9.028
BGD,,2018,11,18.812
BGD,,2018,12,16.111
BGD,,2019,1,17.513
BGD,,2019,2,16.697
BGD,,2019,3,19.277
BGD,,2019,4,17.638
BGD,,2019,5,17.205
BGD,,2019,6,20.653
BGD,,2019,7,10.111
BGD,,2019,8,12.196
BGD,,2019,9,5.898
BGD,,2019,10,12.57
BGD,,2019,11,18.052
BGD,,2019,12,13.816
BGD,,2020,1,22.539
BGD,,2020,2,17.365
BGD,,2020,3,18.282
BGD,,2020,4,18.434
BGD,,2020,5,21.205
BGD,,2020,6,17.211
BGD,,2020,7,10.596
BGD,,2020,8,7.564
BGD,,2020,9,8.125
BGD,,2020,10,10.251
BGD,,2020,11,13.455
BGD,,2020,12,14.428
BGD,,2021,1,14.383
BGD,,2021,2,17.933
BGD,,2021,3,15.475
BGD,,2021,4,20.59
BGD,,2021,5,18.703
BGD,,2021,6,16.078
BGD,,2021,7,11.448
BGD,,2021,8,9.81
BGD,,2021,9,8.942
BGD,,2021,10,14.83
BGD,,2021,11,16.928
BGD,,2021,12,14.592
BGD,,2022,1,19.636
BGD,,2022,2,17.156
BGD,,2022,3,21.682
BGD,,2022,4,19.084
BGD,,2022,5,18.802
BGD,,2022,6,15.053
BGD,,2022,7,9.272
BGD,,2022,8,14.398
BGD,,2022,9,12.624
BGD,,2022,10,10.645
BGD,,2022,11,13.56
BGD,,2022,12,17.699
BGD,,2023,1,16.027
BGD,,2023,2,17.624
BGD,,2023,3,28.007
BGD,,2023,4,17.443
BGD,,2023,5,17.375
BGD,,2023,6,14.795
BGD,,2023,7,10.965
BGD,,2023,8,10.052
BGD,,2023,9,10.195
BGD,,2023,10,11.616
BGD,,2023,11,15.203
BGD,,2023,12,13.116
BFA,,2018,1,17.044
BFA,,2018,2,17.99
BFA,,2018,3,15.473
BFA,,2018,4,20.148
BFA,,2018,5,18.858
BFA,,2018,6,9.983
BFA,,2018,7,10.36
BFA,,2018,8,9.755
BFA,,2018,9,5.389
BFA,,2018,10,8.407
BFA,,2018,11,10.406
BFA,,2018,12,14.891
BFA,,2019,1,19.42
BFA,,2019,2,24.057
BFA,,2019,3,14.064
BFA,,2019,4,13.742
BFA,,2019,5,16.037
BFA,,2019,6,12.502
BFA,,2019,7,16.977
BFA,,2019,8,12.987
BFA,,2019,9,9.218
BFA,,2019,10,8.006
BFA,,2019,11,10.464
BFA,,2019,12,14.214
BFA,,2020,1,21.05
BFA,,2020,2,19.03
BFA,,2020,3,15.027
BFA,,2020,4,18.861
BFA,,2020,5,15.308
BFA,,2020,6,9.583
BFA,,2020,7,11.628
BFA,,2020,8,11.975
BFA,,2020,9,7.212
BFA,,2020,10,12.258
BFA,,2020,11,7.533
BFA,,2020,12,15.829
BFA,,2021,1,10.933
BFA,,2021,2,15.74
BFA,,2021,3,25.587
BFA,,2021,4,19.827
BFA,,2021,5,16.088
BFA,,2021,6,13.387
BFA,,2021,7,10.783
BFA,,2021,8,7.787
BFA,,2021,9,6.642
BFA,,2021,10,8.28
BFA,,2021,11,14.804
BFA,,2021,12,14.202
BFA,,2022,1,13.811
BFA,,2022,2,21.933
BFA,,2022,3,18.005
BFA,,2022,4,18.077
BFA,,2022,5,15.678
BFA,,2022,6,11.19
BFA,,2022,7,11.539
BFA,,2022,8,8.509
BFA,,2022,9,7.304
BFA,,2022,10,9.803
BFA,,2022,11,9.575
BFA,,2022,12,8.599
BFA,,2023,1,20.002
BFA,,2023,2,14.174
BFA,,2023,3,21.343
BFA,,2023,4,14.738
BFA,,2023,5,14.557
BFA,,2023,6,12.141
BFA,,2023,7,16.202
BFA,,2023,8,8.226
BFA,,2023,9,10.962
BFA,,2023,10,7.703
BFA,,2023,11,12.37
BFA,,2023,12,10.032
BOL,,2018,1,16.15
BOL,,2018,2,14.786
BOL,,2018,3,22.301
BOL,,2018,4,17.069
BOL,,2018,5,15.925
BOL,,2018,6,13.163
BOL,,2018,7,11.89
BOL,,2018,8,8.326
BOL,,2018,9,10.435
BOL,,2018,10,14.039
BOL,,2018,11,18.364
BOL,,2018,12,15.866
BOL,,2019,1,20.032
BOL,,2019,2,14.923
BOL,,2019,3,19.838
BOL,,2019,4,18.672
BOL,,2019,5,20.66
BOL,,2019,6,12.463
BOL,,2019,7,11.997
BOL,,2019,8,9.105
BOL,,2019,9,5.084
BOL,,2019,10,8.514
BOL,,2019,11,17.957
BOL,,2019,12,14.273
BOL,,2020,1,13.095
BOL,,2020,2,24.139
BOL,,2020,3,24.638
BOL,,2020,4,17.732
BOL,,2020,5,20.609
BOL,,2020,6,18.727
BOL,,2020,7,12.664
BOL,,2020,8,8.631
BOL,,2020,9,10.842
BOL,,2020,10,9.791
BOL,,2020,11,15.335
BOL,,2020,12,9.796
BOL,,2021,1,13.133
BOL,,2021,2,12.534
BOL,,2021,3,16.911
BOL,,2021,4,18.8
BOL,,2021,5,20.487
BOL,,2021,6,15.579
BOL,,2021,7,7.755
BOL,,2021,8,12.082
BOL,,2021,9,8.9
BOL,,2021,10,11.247
BOL,,2021,11,14.661
BOL,,2021,12,12.807
BOL,,2022,1,21.485
BOL,,2022,2,14.838
BOL,,2022,3,21.018
BOL,,2022,4,11.932
BOL,,2022,5,15.722
BOL,,2022,6,13.308
BOL,,2022,7,8.198
BOL,,2022,8,14.136
BOL,,2022,9,8.612
BOL,,2022,10,8.912
BOL,,2022,11,7.41
BOL,,2022,12,14.938
BOL,,2023,1,18.353
BOL,,2023,2,20.938
BOL,,2023,3,17.96
BOL,,2023,4,14.812
BOL,,2023,5,14.908
BOL,,2023,6,13.94
BOL,,2023,7,12.318
BOL,,2023,8,9.655
BOL,,2023,9,8.738
BOL,,2023,10,9.995
BOL,,2023,11,13.712
BOL,,2023,12,17.101
BRA,,2018,1,20.507
BRA,,2018,2,16.417
BRA,,2018,3,18.761
BRA,,2018,4,20.648
BRA,,2018,5,14.853
BRA,,2018,6,15.092
BRA,,2018,7,11.674
BRA,,2018,8,10.165
BRA,,2018,9,8.412
BRA,,2018,10,7.869
BRA,,2018,11,10.813
BRA,,2018,12,17.101
BRA,,2019,1,16.557
BRA,,2019,2,18.825
BRA,,2019,3,22.39
BRA,,2019,4,16.129
BRA,,2019,5,17.005
BRA,,2019,6,10.746
BRA,,2019,7,13.953
BRA,,2019,8,12.721
BRA,,2019,9,13.293
BRA,,2019,10,14.928
BRA,,2019,11,13.79
BRA,,2019,12,12.953
BRA,,2020,1,16.874
BRA,,2020,2,20.8
BRA,,2020,3,25.946
BRA,,2020,4,22.081
BRA,,2020,5,19.219
BRA,,2020,6,16.276
BRA,,2020,7,16.404
BRA,,2020,8,12.131
BRA,,2020,9,4.809
BRA,,2020,10,9.218
BRA,,2020,11,8.009
BRA,,2020,12,15.127
BRA,,2021,1,16.163
BRA,,2021,2,17.511
BRA,,2021,3,21.036
BRA,,2021,4,16.406
BRA,,2021,5,23.031
BRA,,2021,6,12.892
BRA,,2021,7,15.357
BRA,,2021,8,9.202
BRA,,2021,9,11.05
BRA,,2021,10,9.017
BRA,,2021,11,13.032
BRA,,2021,12,13.643
BRA,,2022,1,13.225
BRA,,2022,2,18.013
BRA,,2022,3,20.962
BRA,,2022,4,20.67
BRA,,2022,5,20.159
BRA,,2022,6,15.447
BRA,,2022,7,10.756
BRA,,2022,8,10.269
BRA,,2022,9,11.802
BRA,,2022,10,10.595
BRA,,2022,11,10.752
BRA,,2022,12,12.45
BRA,,2023,1,18.554
BRA,,2023,2,17.198
BRA,,2023,3,20.578
BRA,,2023,4,18.952
BRA,,2023,5,18.302
BRA,,2023,6,13.037
BRA,,2023,7,9.884
BRA,,2023,8,9.784
BRA,,2023,9,8.315
BRA,,2023,10,9.162
BRA,,2023,11,15.008
BRA,,2023,12,18.013
COD,,2018,1,15.685
COD,,2018,2,19.389
COD,,2018,3,20.811
COD,,2018,4,19.962
COD,,2018,5,13.916
COD,,2018,6,17.339
COD,,2018,7,8.627
COD,,2018,8,10.539
COD,,2018,9,5.474
COD,,2018,10,7.468
COD,,2018,11,12.517
COD,,2018,12,13.831
COD,,2019,1,21.793
COD,,2019,2,18.59
COD,,2019,3,18.384
COD,,2019,4,17.829
COD,,2019,5,15.891
COD,,2019,6,11.508
COD,,2019,7,12.034
COD,,2019,8,10.374
COD,,2019,9,7.889
COD,,2019,10,10.215
COD,,2019,11,9.505
COD,,2019,12,11.558
COD,,2020,1,19.501
COD,,2020,2,21.603
COD,,2020,3,17.906
COD,,2020,4,19.926
COD,,2020,5,11.77
COD,,2020,6,14.839
COD,,2020,7,11.11
COD,,2020,8,9.521
COD,,2020,9,10.218
COD,,2020,10,9.856
COD,,2020,11,11.967
COD,,2020,12,13.556
COD,,2021,1,13.814
COD,,2021,2,21.63
COD,,2021,3,20.444
COD,,2021,4,16.954
COD,,2021,5,15.079
COD,,2021,6,12.288
COD,,2021,7,10.043
COD,,2021,8,9.933
COD,,2021,9,5.854
COD,,2021,10,5.846
COD,,2021,11,9.901
COD,,2021,12,12.286
COD,,2022,1,18.01
COD,,2022,2,17.222
COD,,2022,3,22.109
COD,,2022,4,21.6
COD,,2022,5,13.539
COD,,2022,6,13.965
COD,,2022,7,13.98
COD,,2022,8,8.258
COD,,2022,9,7.751
COD,,2022,10,13.328
COD,,2022,11,8.138
COD,,2022,12,16.078
COD,,2023,1,17.894
COD,,2023,2,21.13
COD,,2023,3,19.278
COD,,2023,4,11.159
COD,,2023,5,18.291
COD,,2023,6,16.932
COD,,2023,7,8.829
COD,,2023,8,9.391
COD,,2023,9,8.953
COD,,2023,10,8.316
COD,,2023,11,14.678
COD,,2023,12,13.945
CMR,,2018,1,15.876
CMR,,2018,2,16.387
CMR,,2018,3,19.356
CMR,,2018,4,17.119
CMR,,2018,5,19.42
CMR,,2018,6,7.739
CMR,,2018,7,6.297
CMR,,2018,8,8.839
CMR,,2018,9,3.874
CMR,,2018,10,10.455
CMR,,2018,11,9.559
CMR,,2018,12,11.072
CMR,,2019,1,14.571
CMR,,2019,2,20.057
CMR,,2019,3,22.317
CMR,,2019,4,17.095
CMR,,2019,5,17.314
CMR,,2019,6,13.001
CMR,,2019,7,9.98
CMR,,2019,8,10.38
CMR,,2019,9,10.512
CMR,,2019,10,5.75
CMR,,2019,11,10.296
CMR,,2019,12,9.679
CMR,,2020,1,11.039
CMR,,2020,2,16.906
CMR,,2020,3,16.979
CMR,,2020,4,16.508
CMR,,2020,5,15.758
CMR,,2020,6,12.307
CMR,,2020,7,9.223
CMR,,2020,8,9.812
CMR,,2020,9,4.932
CMR,,2020,10,8.555
CMR,,2020,11,10.611
CMR,,2020,12,12.006
CMR,,2021,1,14.132
CMR,,2021,2,13.001
CMR,,2021,3,18.941
CMR,,2021,4,19.969
CMR,,2021,5,14.293
CMR,,2021,6,10.9
CMR,,2021,7,14.24
CMR,,2021,8,8.664
CMR,,2021,9,10.858
CMR,,2021,10,8.32
CMR,,2021,11,10.508
CMR,,2021,12,12.564
CMR,,2022,1,16.13
CMR,,2022,2,16.003
CMR,,2022,3,16.292
CMR,,2022,4,20.544
CMR,,2022,5,21.084
CMR,,2022,6,10.925
CMR,,2022,7,12.643
CMR,,2022,8,7.869
CMR,,2022,9,6.134
CMR,,2022,10,11.521
CMR,,2022,11,10.447
CMR,,2022,12,14.999
CMR,,2023,1,12.185
CMR,,2023,2,17.352
CMR,,2023,3,19.616
CMR,,2023,4,20.958
CMR,,2023,5,17.394
CMR,,2023,6,14.931
CMR,,2023,7,7.991
CMR,,2023,8,12.5
CMR,,2023,9,3.0
CMR,,2023,10,10.347
CMR,,2023,11,9.892
CMR,,2023,12,15.422
CHN,,2018,1,20.023
CHN,,2018,2,23.774
CHN,,2018,3,21.368
CHN,,2018,4,19.604
CHN,,2018,5,17.452
CHN,,2018,6,18.115
CHN,,2018,7,12.916
CHN,,2018,8,14.021
CHN,,2018,9,13.855
CHN,,2018,10,8.436
CHN,,2018,11,21.984
CHN,,2018,12,14.57
CHN,,2019,1,24.844
CHN,,2019,2,24.378
CHN,,2019,3,18.978
CHN,,2019,4,21.004
CHN,,2019,5,21.881
CHN,,2019,6,20.829
CHN,,2019,7,15.896
CHN,,2019,8,14.33
CHN,,2019,9,9.92
CHN,,2019,10,16.026
CHN,,2019,11,11.459
CHN,,2019,12,16.691
CHN,,2020,1,16.83
CHN,,2020,2,16.679
CHN,,2020,3,21.657
CHN,,2020,4,16.837
CHN,,2020,5,16.519
CHN,,2020,6,14.096
CHN,,2020,7,14.161
CHN,,2020,8,14.629
CHN,,2020,9,11.209
CHN,,2020,10,14.184
CHN,,2020,11,15.475
CHN,,2020,12,20.73
CHN,,2021,1,26.384
CHN,,2021,2,23.276
CHN,,2021,3,24.627
CHN,,2021,4,20.966
CHN,,2021,5,22.38
CHN,,2021,6,14.191
CHN,,2021,7,16.121
CHN,,2021,8,15.945
CHN,,2021,9,10.76
CHN,,2021,10,12.61
CHN,,2021,11,17.027
CHN,,2021,12,18.862
CHN,,2022,1,18.374
CHN,,2022,2,20.701
CHN,,2022,3,21.284
CHN,,2022,4,19.924
CHN,,2022,5,23.246
CHN,,2022,6,19.005
CHN,,2022,7,14.675
CHN,,2022,8,13.076
CHN,,2022,9,10.492
CHN,,2022,10,13.134
CHN,,2022,11,13.041
CHN,,2022,12,16.989
CHN,,2023,1,23.923
CHN,,2023,2,19.471
CHN,,2023,3,23.315
CHN,,2023,4,27.565
CHN,,2023,5,18.117
CHN,,2023,6,18.573
CHN,,2023,7,10.377
CHN,,2023,8,12.075
CHN,,2023,9,12.156
CHN,,2023,10,10.122
CHN,,2023,11,14.671
CHN,,2023,12,19.563
COL,,2018,1,14.675
COL,,2018,2,14.72
COL,,2018,3,18.71
COL,,2018,4,16.304
COL,,2018,5,13.249
COL,,2018,6,11.931
COL,,2018,7,9.924
COL,,2018,8,7.217
COL,,2018,9,8.343
COL,,2018,10,10.803
COL,,2018,11,11.901
COL,,2018,12,12.475
COL,,2019,1,14.437
COL,,2019,2,16.939
COL,,2019,3,15.376
COL,,2019,4,20.389
COL,,2019,5,19.271
COL,,2019,6,7.104
COL,,2019,7,11.42
COL,,2019,8,9.402
COL,,2019,9,5.708
COL,,2019,10,7.855
COL,,2019,11,11.174
COL,,2019,12,14.898
COL,,2020,1,18.965
COL,,2020,2,16.795
COL,,2020,3,20.0
COL,,2020,4,19.555
COL,,2020,5,16.439
COL,,2020,6,13.763
COL,,2020,7,11.601
COL,,2020,8,8.616
COL,,2020,9,9.864
COL,,2020,10,7.866
COL,,2020,11,9.8
COL,,2020,12,14.095
COL,,2021,1,13.11
COL,,2021,2,22.37
COL,,2021,3,17.551
COL,,2021,4,24.637
COL,,2021,5,18.052
COL,,2021,6,14.281
COL,,2021,7,12.717
COL,,2021,8,9.564
COL,,2021,9,6.286
COL,,2021,10,10.782
COL,,2021,11,5.601
COL,,2021,12,13.211
COL,,2022,1,17.95
COL,,2022,2,22.438
COL,,2022,3,17.786
COL,,2022,4,22.349
COL,,2022,5,17.636
COL,,2022,6,12.394
COL,,2022,7,11.734
COL,,2022,8,9.275
COL,,2022,9,5.578
COL,,2022,10,4.38
COL,,2022,11,10.291
COL,,2022,12,12.123
COL,,2023,1,17.228
COL,,2023,2,15.421
COL,,2023,3,20.348
COL,,2023,4,15.248
COL,,2023,5,12.588
COL,,2023,6,17.096
COL,,2023,7,13.842
COL,,2023,8,8.432
COL,,2023,9,6.28
COL,,2023,10,9.3
COL,,2023,11,11.011
COL,,2023,12,15.182
DEU,,2018,1,18.733
DEU,,2018,2,24.517
DEU,,2018,3,19.84
DEU,,2018,4,29.145
DEU,,2018,5,18.376
DEU,,2018,6,16.515
DEU,,2018,7,15.132
DEU,,2018,8,14.181
DEU,,2018,9,14.469
DEU,,2018,10,15.407
DEU,,2018,11,16.981
DEU,,2018,12,14.309
DEU,,2019,1,21.222
DEU,,2019,2,26.658
DEU,,2019,3,19.215
DEU,,2019,4,24.685
DEU,,2019,5,21.691
DEU,,2019,6,19.694
DEU,,2019,7,16.954
DEU,,2019,8,13.009
DEU,,2019,9,11.94
DEU,,2019,10,14.649
DEU,,2019,11,14.073
DEU,,2019,12,15.029
DEU,,2020,1,24.669
DEU,,2020,2,27.627
DEU,,2020,3,23.658
DEU,,2020,4,24.547
DEU,,2020,5,22.21
DEU,,2020,6,14.331
DEU,,2020,7,14.877
DEU,,2020,8,10.84
DEU,,2020,9,14.192
DEU,,2020,10,10.48
DEU,,2020,11,13.787
DEU,,2020,12,14.354
DEU,,2021,1,20.931
DEU,,2021,2,21.959
DEU,,2021,3,16.851
DEU,,2021,4,24.287
DEU,,2021,5,12.373
DEU,,2021,6,18.436
DEU,,2021,7,13.413
DEU,,2021,8,14.056
DEU,,2021,9,11.541
DEU,,2021,10,9.051
DEU,,2021,11,12.375
DEU,,2021,12,16.133
DEU,,2022,1,20.042
DEU,,2022,2,19.879
DEU,,2022,3,25.446
DEU,,2022,4,19.839
DEU,,2022,5,17.604
DEU,,2022,6,14.607
DEU,,2022,7,16.523
DEU,,2022,8,10.56
DEU,,2022,9,13.237
DEU,,2022,10,12.208
DEU,,2022,11,9.752
DEU,,2022,12,15.881
DEU,,2023,1,18.494
DEU,,2023,2,25.029
DEU,,2023,3,20.844
DEU,,2023,4,19.984
DEU,,2023,5,14.716
DEU,,2023,6,17.915
DEU,,2023,7,15.381
DEU,,2023,8,14.351
DEU,,2023,9,12.804
DEU,,2023,10,13.45
DEU,,2023,11,16.37
DEU,,2023,12,18.959
EGY,,2018,1,14.999
EGY,,2018,2,23.089
EGY,,2018,3,20.568
EGY,,2018,4,21.544
EGY,,2018,5,19.512
EGY,,2018,6,16.102
EGY,,2018,7,16.411
EGY,,2018,8,12.318
EGY,,2018,9,7.373
EGY,,2018,10,8.892
EGY,,2018,11,15.411
EGY,,2018,12,16.387
EGY,,2019,1,17.662
EGY,,2019,2,16.678
EGY,,2019,3,21.997
EGY,,2019,4,16.734
EGY,,2019,5,18.246
EGY,,2019,6,17.525
EGY,,2019,7,14.132
EGY,,2019,8,11.797
EGY,,2019,9,11.024
EGY,,2019,10,12.008
EGY,,2019,11,13.506
EGY,,2019,12,12.741
EGY,,2020,1,16.837
EGY,,2020,2,19.459
EGY,,2020,3,19.743
EGY,,2020,4,17.291
EGY,,2020,5,20.472
EGY,,2020,6,11.609
EGY,,2020,7,15.557
EGY,,2020,8,9.802
EGY,,2020,9,12.6
EGY,,2020,10,9.766
EGY,,2020,11,14.078
EGY,,2020,12,17.265
EGY,,2021,1,12.818
EGY,,2021,2,17.596
EGY,,2021,3,20.767
EGY,,2021,4,20.389
EGY,,2021,5,20.506
EGY,,2021,6,13.811
EGY,,2021,7,7.787
EGY,,2021,8,6.537
EGY,,2021,9,9.807
EGY,,2021,10,10.847
EGY,,2021,11,12.865
EGY,,2021,12,16.773
EGY,,2022,1,18.175
EGY,,2022,2,17.453
EGY,,2022,3,24.628
EGY,,2022,4,27.163
EGY,,2022,5,19.122
EGY,,2022,6,17.052
EGY,,2022,7,9.735
EGY,,2022,8,12.563
EGY,,2022,9,13.024
EGY,,2022,10,11.521
EGY,,2022,11,8.539
EGY,,2022,12,19.742
EGY,,2023,1,15.205
EGY,,2023,2,21.553
EGY,,2023,3,22.422
EGY,,2023,4,21.308
EGY,,2023,5,17.205
EGY,,2023,6,12.107
EGY,,2023,7,11.715
EGY,,2023,8,9.983
EGY,,2023,9,13.919
EGY,,2023,10,8.828
EGY,,2023,11,15.32
EGY,,2023,12,14.133
ETH,,2018,1,16.527
ETH,,2018,2,19.167
ETH,,2018,3,20.908
ETH,,2018,4,17.559
ETH,,2018,5,18.031
ETH,,2018,6,12.503
ETH,,2018,7,10.373
ETH,,2018,8,9.325
ETH,,2018,9,10.321
ETH,,2018,10,8.345
ETH,,2018,11,10.58
ETH,,2018,12,14.027
ETH,,2019,1,12.851
ETH,,2019,2,17.533
ETH,,2019,3,20.948
ETH,,2019,4,18.208
ETH,,2019,5,19.371
ETH,,2019,6,16.927
ETH,,2019,7,9.863
ETH,,2019,8,5.45
ETH,,2019,9,10.641
ETH,,2019,10,8.869
ETH,,2019,11,15.313
ETH,,2019,12,14.869
ETH,,2020,1,20.017
ETH,,2020,2,16.734
ETH,,2020,3,19.522
ETH,,2020,4,17.233
ETH,,2020,5,12.029
ETH,,2020,6,17.195
ETH,,2020,7,14.322
ETH,,2020,8,12.552
ETH,,2020,9,7.468
ETH,,2020,10,10.244
ETH,,2020,11,8.901
ETH,,2020,12,16.166
ETH,,2021,1,19.465
ETH,,2021,2,17.828
ETH,,2021,3,16.868
ETH,,2021,4,15.595
ETH,,2021,5,14.103
ETH,,2021,6,17.055
ETH,,2021,7,7.59
ETH,,2021,8,8.996
ETH,,2021,9,6.007
ETH,,2021,10,9.66
ETH,,2021,11,14.101
ETH,,2021,12,16.976
ETH,,2022,1,17.485
ETH,,2022,2,14.683
ETH,,2022,3,13.966
ETH,,2022,4,15.224
ETH,,2022,5,10.582
ETH,,2022,6,16.279
ETH,,2022,7,14.06
ETH,,2022,8,13.887
ETH,,2022,9,13.035
ETH,,2022,10,10.671
ETH,,2022,11,8.459
ETH,,2022,12,14.861
ETH,,2023,1,18.148
ETH,,2023,2,21.308
ETH,,2023,3,17.925
ETH,,2023,4,16.056
ETH,,2023,5,21.481
ETH,,2023,6,14.304
ETH,,2023,7,15.303
ETH,,2023,8,8.407
ETH,,2023,9,6.853
ETH,,2023,10,12.852
ETH,,2023,11,12.201
